Gene	probe_description	biotin.WT.01@1	biotin.bio101@4	biotin.WT.B1@2	biotin.bio1B1@3	biotin.WT.02@1	biotin.bio102@4	biotin.WT.B2@2	biotin.bio1B2@3
12007_at	putative protein	4.434303783	4.790554191	4.738469125	4.790265532	4.617317812	4.892006524	4.704815179	4.733527591
12008_at	Similar to gb|U51990 pre-mRNA-splicing factor hPrp18 from Homo sapiens.  ESTs gb|T46391 and gb|AA721815 come from this gene.	7.200474582	6.55327829	6.846473794	6.735238661	6.931109315	6.563056918	6.872534439	6.927401186
12009_at	hypothetical protein	5.485809546	5.501155103	5.441838732	5.507017153	5.733060641	5.451374206	5.236864656	5.439717721
12010_i_at	"Identical to A. thaliana PUR2 (gb|X74766). ESTs gb|ATTS3927,gb|N96446 come from this gene."	6.514534168	6.817665673	6.425047195	6.624026715	6.82515922	6.981258074	6.355100749	6.624291401
12011_s_at	"Identical to A. thaliana PUR2 (gb|X74766). ESTs gb|ATTS3927,gb|N96446 come from this gene."	4.508373986	4.77768214	4.467793658	4.631218875	4.91952756	4.720838786	4.500016648	4.599563373
12012_at	EST gb|ATTS0887 comes from this gene.	4.553252298	4.784416873	4.531797947	4.654029871	4.809090962	4.792389386	4.64301314	4.783945359
12013_at	unknown protein	4.048730968	4.20923373	4.078143811	4.248696012	4.299227211	4.106441922	4.150673521	4.114803515
12014_at	Contains similarity to 21 KD subunit of the Arp2/3 protein complex (ARC21) gb|AF006086 from Homo sapiens. EST gb|Z37222 comes	5.343721662	5.289850303	5.262371908	5.502523714	5.416266445	5.416507821	5.512774711	5.46810687
12015_at	unknown protein	5.992732393	6.083464261	6.018537642	6.016630056	6.183435467	6.104131113	6.320230167	5.993876256
12016_at	putative proline-rich protein	4.56765146	4.232184926	4.276210942	4.479428331	4.233777363	4.335747504	4.18010899	4.15909919
12017_at	unknown protein	4.998448972	5.034534773	5.1445985	5.107758714	4.995254403	5.194310176	4.967877338	4.850267233
12018_at	Hypothetical Protein	4.976436837	5.091882973	4.905152212	4.98262978	4.770656223	5.089527753	4.917702854	4.878876178
12019_at	unknown protein	4.671631762	4.144568613	4.448117302	4.533901715	4.374240902	4.288204169	4.437968756	4.228860529
12020_at	"Arabidopsis thaliana chromosome II BAC T3G21 genomic sequence, complete sequence."	6.566198506	5.718408396	6.284028148	6.247320703	6.683553027	6.064333607	6.521278715	6.150059035
12021_at	unknown protein	5.071231843	5.020868187	5.02400931	5.128962929	4.856463108	5.034725745	5.272388722	5.014997283
12022_at	EST gb|F13926 comes from this gene.	5.867922945	5.833902087	5.978790559	6.040064206	6.04491723	5.888585148	6.010489402	5.867412655
12024_at	"contains similarity to protein kinase domains; Pfam PF00069, Score=15.8, E=0.0027, N=1; coded for by A. thaliana cDNA Z26746; coded for by A. thaliana cDNA Z30510"	4.411663495	4.476095005	4.350773759	4.470142973	4.453077214	4.466083795	4.818046056	4.448428922
12025_at	putative protein	5.013725179	5.310811417	5.037745532	5.189969554	5.354625664	5.583782867	5.712529827	5.062618976
12026_at	putative protein	5.511648149	5.439135233	5.453679703	5.549405723	5.601579983	5.834231086	5.960150704	5.703946633
12027_at	putative protein	5.3407357	4.885631463	5.369979283	5.10057691	5.045921823	4.956737577	5.106844067	5.119289749
12028_at	fatty acid elongase-like protein (cer2-like)	5.376692421	5.70447363	5.869814126	6.342839035	6.566199436	6.466166759	6.106765069	6.701557451
12029_at	putative phosphatidylinositol synthase	6.581819471	6.338095939	6.498655745	6.457245322	6.446557328	6.242036479	6.404328316	6.754553959
12030_at	ES43 like protein	7.384503398	7.359409345	7.440631443	7.548817643	7.536621693	7.253849359	7.316782101	7.509182357
12031_at	Thioredoxin-like protein	8.5097788	7.10002737	7.558575303	7.180919054	7.224597022	7.192774584	7.123223774	7.150094393
12032_s_at	"Arabidopsis thaliana mRNA for FAS1, partial cds."	4.484932747	4.439259377	4.43782897	4.433440248	4.552534647	4.435709288	4.217261896	4.63023092
12033_at	F20P5.8	4.382333245	4.389171651	4.440180096	4.581746495	5.096680835	4.538675563	4.29305553	4.763877559
12034_at	predicted protein of unknown function	6.887192963	6.74619633	6.584074881	6.646678689	7.037098291	6.512917891	6.464640227	6.837389209
12035_at	Contains similarity to auxin-induced protein TM018A10.6 from A. thaliana BAC gb|AF013294.	5.386151741	5.599432166	5.51161561	5.466281522	5.603301964	5.341166009	5.515084218	5.735949413
12036_at	30S ribosomal protein S31	9.608054339	8.788429695	9.510312765	9.427152366	9.667751108	9.144706075	9.68301556	9.52936452
12037_at	unknown protein	5.476050974	5.507686469	5.849598228	6.105952365	5.562467046	5.159045324	5.372518268	5.771238497
12038_at	hypothetical protein	4.417480294	4.49277824	4.4321896	4.380225935	4.539068652	4.463256633	4.425306937	4.63641598
12039_at	putative disease resistance response protein	6.382952139	6.576770791	6.789341538	6.766706636	6.349335796	6.536175524	6.693470304	6.801783342
12040_at	Similar to gb|U08285 membrane-associated salt-inducible protein from Nicotiana tabacum.  ESTs gb|T44131 and gb|T04378 come from this gene.	4.76400213	4.848339106	4.78545804	4.753309723	4.864246254	4.716140889	4.56185809	4.86212768
12041_at	putative carboxyphosphonoenolpyruvate mutase	4.837785318	4.866941738	4.790598447	4.693199165	4.924675199	4.795507681	5.03764338	4.927783404
12042_at	unknown protein	6.504065026	7.276339939	6.693117618	6.677668641	6.923453378	7.022998582	6.777809127	6.81263429
12043_at	putative membrane-associated salt-inducible protein (AL021637);  similar to EST gb|AA728420	4.339664263	4.562058703	4.402534037	4.573384788	4.618826777	4.567184298	4.521228167	4.565830997
12044_at	"Unknown protein; Location of EST TAY079, gb|Z18483"	4.073910966	4.210791132	4.105505942	4.219183321	4.275960045	4.205035464	4.215990716	4.21626148
12045_at	Belongs to the PF|00657 Lipase/Acylhydrolase with GDSL-motif family.	3.783037171	3.864255757	3.851547901	3.928936533	4.016670127	3.953899673	3.966253039	3.856447738
12046_at	"Contains the PF|00650 CRAL/TRIO phosphatidyl-inositol-transfer protein domain.  ESTs gb|T76582, gb|N06574 and gb|Z25700 come from this gene."	4.964447393	4.472726505	5.042845645	4.965512181	4.917167791	4.346885178	4.588562801	4.808410954
12047_at	Similar to RNA helicases; Contains DEAD-box subfamily ATP-dependent helicases protein motif	4.476459601	4.1782043	4.411691991	4.576775557	4.364540683	4.378258068	4.431662109	4.546235389
12048_at	predicted glycosyl transferase	7.049434492	6.075290948	6.873313099	6.577625925	7.065735663	6.674533791	6.789793891	6.6085619
12049_at	Hypothetical protein F21E10.13	6.865061439	6.120136054	6.789894646	6.412427782	6.609700455	6.005838864	6.479596492	6.192618484
12050_at	"Arabidopsis thaliana mRNA for DEAD box RNA helicase, RH13."	4.480505455	4.454955605	4.205474808	4.418828477	4.331451284	4.53186837	4.381323928	4.318757769
12051_at	putative protein	5.692822834	4.96289782	5.672028339	5.308597146	5.156190285	5.077791261	5.062458122	4.901808342
12052_at	putative protein	7.239758128	6.925573393	6.914523975	6.859744	7.917861866	6.887441868	7.209957377	7.194923105
12053_at	unknown	6.027229742	5.856074277	6.098863964	6.28598512	5.965345586	6.009156626	6.02935552	5.953134958
12054_at	hypothetical protein	4.910273807	4.887527752	4.728375514	4.975575092	4.879492714	4.828341474	5.003769277	4.817030619
12055_at	hypothetical protein	4.415242145	4.506156732	4.413383898	4.347858023	4.353835907	4.463332578	4.753368178	4.493306012
12056_at	hypothetical protein	4.074219366	4.010695095	3.957906289	4.137186958	3.821982652	4.025714054	4.45876477	4.066389608
12057_at	similar to GTP-binding protein ERG sp|082626|ERG_ANTMA	6.942446271	7.034132731	7.081830063	7.191112398	7.125892111	7.182523271	7.452265984	6.96269784
12058_at	unknown protein	6.865057347	7.135081289	7.284388531	7.288275039	7.365725366	7.304929876	7.26885572	6.926445623
12059_at	F8K4.12	4.611066587	5.060510457	4.645527969	4.691647445	4.818285097	4.94049708	5.352528209	4.998131178
12060_at	"Contains similarity to gb|AF113001 silencing mediator of retinoic acid and thyroid hormone receptor alpha and gb|AF109179 cyclin T1 from Mus musculus.  ESTs gb|N95317, gb|Z29139 and gb|Z30853 come from this gene."	6.411531474	6.699987225	6.661531157	7.147079175	6.771340973	6.778128724	6.885382064	6.718175552
12061_at	unknown protein	5.760145075	5.992765725	5.667530284	5.790049045	5.88264215	5.931175871	5.568964735	5.969105972
12062_at	unknown protein	5.469748866	5.460299674	5.340282054	5.472814947	5.485260235	5.753698525	5.301927399	5.513622695
12063_at	putative MYB family transcription factor	4.304029967	4.017589157	4.003304252	4.089180469	4.121199899	4.081974324	4.104707233	4.283993541
12064_at	T23K8.6	4.150996296	4.220045525	4.15446808	4.162803592	4.178447065	4.211709799	4.153253791	4.31204853
12065_at	Arabidopsis thaliana BAC IG002P16.	5.124229169	5.03873331	4.902233268	5.046675084	5.139362437	4.96851045	4.827422832	5.110892663
12066_at	Similar to protein kinase; coded for by A. thaliana cDNA H36947; coded for by A. thaliana cDNA H37158	4.570485571	4.582211643	4.52773368	4.505387646	4.490708357	4.493774262	4.327750613	4.691327886
12067_at	contains similarity to nucleotide sugar epimerases	5.402857639	5.268734062	5.428862113	5.640373374	5.541733746	5.535924968	5.037642194	5.465025534
12068_at	contains similarity to Methanobacterium thermoautotrophicum transcriptional regulator (GB:AE000850)	6.205517078	6.517033318	6.333634715	6.200760787	6.260062414	6.242361295	6.139556518	6.415183919
12069_at	contains similarity to human PCF11p homolog (GB:AF046935)	5.390417941	5.29823148	5.25128298	5.31267913	5.452755229	5.27260006	5.173784379	5.404735573
12070_at	putative protein	5.41661479	5.468272578	5.431021125	5.413396802	5.505707614	5.432265605	5.278160345	5.552711181
12071_at	putative protein	4.613963155	4.269836451	4.39653848	4.568948003	4.546729597	4.321061693	4.129737779	4.479592098
12072_at	putative protein	6.914807273	5.516062347	6.603688007	6.097653126	6.311779932	5.140436291	6.078295613	5.980842472
12073_at	putative protein	4.594994775	4.816382501	4.778661569	4.727587533	4.736358552	4.853658873	4.862490203	4.880838407
12074_at	putative protein	6.215556028	5.540371116	5.925640907	5.689051282	5.892967428	5.776067269	5.712875921	5.794486008
12075_at	fatty acid hydroxylase-like protein	8.071387041	7.072544128	7.874151784	7.859283404	7.906283524	7.05783947	7.847489446	7.898671494
12076_at	putative protein	4.050451398	4.105279433	4.041267236	4.143112848	4.342369153	4.140774949	4.29936788	4.094864675
12077_at	similar to CGI-13 protein	5.196287455	5.227594547	5.184711368	5.215731395	5.359919964	5.135522666	5.090603808	5.250383517
12078_at	"Arabidopsis thaliana glycolate oxidase mRNA, partial cds."	9.14366948	8.968897698	9.168462046	9.344800967	9.328984153	9.357242406	9.192700372	9.267418957
12079_s_at	Sequence 30 from Patent WO9813478.	4.890049833	5.560302201	5.422809987	5.285643712	4.836451075	5.049549203	5.138313382	5.395726895
12080_at	EST gb|ATTS3706 comes from this gene.	4.408241684	4.342780775	4.423471724	4.506386004	4.492088293	4.42660016	4.591423795	4.487835751
12081_at	unknown protein	5.874900832	6.58577042	5.954090279	5.825562376	6.102977156	6.582287483	5.991185418	5.992948359
12082_at	Unknown protein; Location of EST gb|AA394987	6.079027766	5.944098738	5.967157348	6.012529063	6.054062468	5.67994454	5.943329249	5.92209454
12083_at	Unknown protein; Location of EST gb|T22158 and gb|AA395675	4.053418776	3.904098072	3.985969713	4.018279229	3.840732764	4.043546037	3.970677273	3.889438835
12084_at	"Arabidopsis thaliana complete chromosome II, complete sequence."	4.729377103	5.889540824	4.695132435	4.961608428	4.902931983	4.770902706	4.840814086	4.899160991
12085_at	Strong similarity to Triticum ABA induced membrane protein (gb|U80037). EST gb|Z27032 comes from this gene.	4.727327927	4.65629303	4.752620086	4.745653114	4.70418772	4.802364656	5.048196368	4.570386323
12086_s_at	unknown protein	4.164747087	4.093605551	4.130760766	4.134474417	4.133355234	4.299580366	4.319004737	4.098728289
12087_at	unknown protein	4.813494232	4.562893149	4.552367941	4.72732212	4.663071388	4.63593873	4.708606946	4.533061672
12088_at	unknown protein	4.842510321	4.621853224	4.75252869	4.870563342	4.786825905	4.832338993	4.875322374	4.684102583
12089_at	Hypothetical protein	4.440699046	4.761968182	4.690523522	4.733735211	4.44902916	4.702127803	5.205808582	4.760046143
12090_at	unknown protein	4.271220392	4.580214374	4.358820876	4.532006846	4.302353174	4.665765494	4.841713215	4.575980388
12091_at	unknown protein	4.562713757	4.380205649	4.40898085	4.675438981	4.750032149	4.496427688	4.885483675	4.583153012
12092_at	"ESTs gb|T20423, gb|AA712864, gb|H76323 and gb|Z25560 come from this gene."	7.896517999	7.003391986	7.979630728	7.524972863	7.090460835	7.158315043	6.849073441	6.598329904
12093_at	unknown protein	4.243823477	4.246519334	4.221772881	4.605106249	4.543914607	4.409067277	4.876669063	4.713613789
12094_at	putative alanine acetyl transferase	5.934825388	5.896303621	6.248594776	5.713453371	5.63545873	5.778862123	5.65323776	5.630364336
12095_at	"Arabidopsis thaliana chromosome II BAC F22D22 genomic sequence, complete sequence."	5.946732388	6.748498293	6.732151723	7.618957409	6.862991183	6.932047281	7.01573029	7.972764571
12096_at	unknown protein	5.295947282	5.0523467	5.589004204	5.51651862	5.19783963	5.101325052	5.115133769	5.359441921
12097_g_at	unknown protein	5.264891283	5.277958254	5.703331586	5.729745152	5.430596503	5.292602509	5.337962725	5.673679207
12098_at	"ESTs gb|T76348, gb|N65615 and gb|Z18119 come from this gene."	8.389036521	8.393482757	8.650093601	8.850379218	8.961881589	8.632457434	8.834413285	8.805823481
12099_at	"Arabidopsis thaliana chromosome 1 BAC F3O9 sequence, complete sequence."	4.663789769	4.491509379	4.439952466	4.519808348	4.384695757	4.409380631	4.352514524	4.528612375
12100_at	unknown protein	4.118710988	4.119930878	4.127596252	4.197036998	4.364139797	4.125001713	4.086820659	4.293031184
12101_at	unknown protein	4.321971354	4.366752096	4.443512134	4.460575541	4.32836736	4.374718413	4.25345605	4.564551576
12102_at	ESTs gb|T22000 and gb|AA585765 come from this gene.	6.648496052	6.580411738	6.839790943	7.055339199	6.988083183	6.803183482	6.525089676	6.777042083
12103_at	"Unknown protein; Location of ESTs OAO242 5' end, gb|Z30466 and OAO242 3' end, gb|Z30467.  Rare GC splice site at 81530 is inferred form est alignment and has not been demonstrated experimentally"	4.888538591	5.03248946	4.932723097	4.888807656	5.038631004	4.822975779	4.832063677	4.93685416
12104_at	unknown protein	4.74885587	5.227348396	4.925423984	4.734773925	4.988895077	4.886927707	4.746179402	4.878508359
12105_at	hypothetical protein	4.916875263	4.690825466	4.809270914	4.645934949	4.84223643	4.697383723	4.649029042	4.698478453
12106_at	"Arabidopsis thaliana putative methyltransferase gene, complete cds."	4.250077723	4.222476009	4.205075425	4.167847592	4.296092702	4.289875879	4.361579443	4.245967139
12107_i_at	contains simlarity to Canis familiaris signal peptidase complex 25 kDa subunit (GB:U12687)	5.265456542	5.868191707	5.340807064	5.254548323	5.6359754	5.311384921	5.140048482	5.331407645
12108_at	"Arabidopsis thaliana uracil phosphoribosyltransferase 1 (UPT1) mRNA, partial cds."	4.28123358	4.251146398	4.316955101	4.224832988	4.505637617	4.337760283	4.346738775	4.348516023
12109_g_at	"Arabidopsis thaliana uracil phosphoribosyltransferase 1 (UPT1) mRNA, partial cds."	5.297399379	5.238877501	5.041857978	5.194271163	5.532812144	5.401954079	5.365788857	5.285342338
12110_at	contains similarity to Medicago truncatula N7 protein (GB:Y17613); coded for by A. thaliana cDNA N97097; coded for by A. thaliana cDNA N96413	6.684908222	6.620692131	6.758085952	6.781422498	6.919185835	6.583438253	6.678745301	6.782037443
12111_at	hypothetical protein	5.09618119	4.879361419	5.110482632	5.049542031	5.183229748	5.12310607	5.217427438	4.933526598
12112_at	putative protein	6.947186757	6.683687497	6.725474996	6.754322711	6.814563645	6.967849962	6.950339185	6.741329695
12113_at	putative protein	5.106984907	5.198354528	5.227904491	5.310270175	5.514376452	5.375036335	5.494980107	5.233870829
12114_at	putative protein	7.034477824	6.816723821	7.19620014	7.317482283	7.007918056	6.988924013	7.232591643	7.079876722
12115_at	extensin-like protein	5.894925705	6.878540724	5.371449882	5.614884249	5.612053806	6.367050107	5.419851172	5.316150956
12116_at	putative protein	4.591841582	4.418731098	4.373206172	4.490016645	4.461674367	4.44389168	4.537796786	4.331071217
12117_at	putative protein	9.939907144	9.644416197	10.22884486	10.50800427	10.40764697	10.23458515	10.10091665	10.0755355
12118_at	putative protein	7.020405379	6.826015291	7.257467431	7.204937081	6.89410777	6.923679845	6.790081314	6.655031434
12119_at	putative protein	4.478013334	4.433463415	4.344520798	4.539790269	4.23787759	4.592070123	4.475030158	4.334337038
12120_at	"similar to dehydrogenase encoded by GenBank Accession Number S39508; localized according to blastn similarity to EST sequences; therefore, the coding span corresponds only to an area of similarity since the initation codon and stop codon could not be precisely determined"	6.94025919	7.249473186	7.190415232	7.276809742	6.995037513	7.260912682	7.269380692	7.046009728
12121_at	A.thaliana PgiC gene for cytosolic phosphoglucose isomerase.	5.83973186	6.093500478	5.85671532	6.022831928	5.790526364	6.00467581	5.863583374	5.584506809
12122_at	unknown	5.229822558	5.284028875	4.996302945	5.290132957	5.539919677	5.152435682	5.403908041	5.214114245
12123_at	hypothetical protein	4.721292421	4.680527297	4.777352599	4.645756127	4.650432535	4.780203757	5.212190049	4.628276508
12124_at	imidazoleglycerol-phosphate dehydratase	6.019296674	6.31942284	6.251469815	6.326146667	6.199425666	6.362004206	6.593578663	5.979795839
12125_at	hypothetical protein	8.321536957	9.262606638	8.843471307	8.882818352	8.979074843	8.963792938	8.998408764	8.726360074
12126_at	hypothetical protein	5.194581588	5.179349668	5.693965674	5.881957037	5.249775395	5.154402162	5.820656938	5.620325587
12127_at	similar to acetyl-CoA:benzylalcoholog acetyltransferase gb|AAF04783.1|AF121852_1	4.341855614	4.320043276	4.383081199	4.417956786	4.427657254	4.264951362	4.698429715	4.576778497
12128_at	unknown protein	8.453372152	6.812275471	8.091488868	6.936696812	7.031192139	6.831805278	6.640912724	6.52062411
12129_at	putative pectinesterase	4.322790028	4.260581947	4.288274627	4.316014261	4.352007893	4.173898756	4.293908831	4.512173426
12130_at	unknown protein	5.025561114	6.123151256	4.90076949	5.358399379	6.038870271	5.912188121	5.654517496	5.854008584
12131_at	unknown protein	6.278228244	7.187238692	6.351598007	6.309496013	6.496152606	6.614196397	6.252137366	6.512328501
12132_at	similar to salt-inducible protein (gi|375717); similar to ESTs gb|R30192 and gb|AA651017	5.530189627	5.604992308	5.796648347	5.88938526	5.770856903	5.868834241	5.35418527	5.706573681
12133_at	Unknown protein	5.423409245	5.282107	5.505599634	5.327663599	5.499883612	5.340049556	5.278110197	5.360868379
12134_at	unknown protein	4.041158517	3.972594976	3.936639408	4.01881997	4.061852423	3.981364678	4.012630501	4.158284402
12135_at	ESTs gb|H76289 and gb|H76537 come from this gene.	6.70294572	6.450543494	6.873062499	6.948052975	7.172774256	6.799305684	6.845840661	7.130467664
12136_at	"ESTs gb|R65145, gb|N96612 and gb|R90096 come from this gene."	5.320742363	5.300376482	5.473766739	5.45332657	5.661075432	5.285796194	5.393817534	5.5707224
12137_at	"unknown protein; location of EST gb|T45083 and gb|R65542, rare gc intron spice site at position 88837 is predicted from alignment of EST gb|T45083"	8.844277986	8.50403725	8.848537403	8.735872614	8.818969367	8.558655004	8.752636844	8.532786731
12138_at	putative protein	4.060793832	4.158288542	4.302407878	4.33197177	4.434478296	4.224358429	4.20939861	4.460425283
12139_at	putative protein	4.60377473	4.614248527	5.117322538	5.112473183	4.633664895	4.575169362	4.896317074	5.22942612
12140_at	putative protein	4.655779703	4.555679528	4.664860508	4.54845957	4.747871418	4.359365608	4.65469498	4.642769701
12141_s_at	A.thaliana gene for porphobilinogen deaminase.	7.061958906	6.849312591	7.090507073	7.316242697	7.48141089	7.058910902	7.143645959	7.261370358
12142_at	tubulin-like protein	4.175466224	4.318269857	4.185165656	4.092973966	4.46445025	4.24810904	4.319502329	4.207391302
12143_at	hypothetical protein	5.833711402	6.527291813	5.787903806	6.057485569	6.05389312	6.067533869	5.943534461	6.017210768
12144_at	"ESTs gb|H37208,gb|H36853 come from this gene."	5.299296508	5.190506161	5.258705554	5.380361149	5.417081014	5.263919878	5.362182882	5.116731153
12145_at	Hypothetical protein	6.542321922	6.381197439	6.762565924	6.691177761	6.673703205	6.584325628	6.755968763	6.714120303
12146_at	"Arabidopsis thaliana complete chromosome II, complete sequence."	4.857980654	4.765630636	4.928286988	5.139210435	5.2411809	5.037273617	5.08677802	4.992898807
12147_at	unknown protein	5.733437519	5.646466482	5.78919057	5.849058494	5.90780717	5.846921492	6.096689957	5.822266895
12148_at	unknown protein	6.280049617	5.788079607	6.317806695	6.540029682	6.372331982	6.093325822	6.319899826	6.265458396
12149_at	unknown protein	5.609325207	5.542320896	5.803229652	5.713946737	5.721120894	5.583418918	5.640260059	5.732820067
12150_at	unknown protein	6.02695337	6.161774973	6.394938204	6.370468889	6.007699228	6.148604382	5.787643688	5.787361805
12151_at	putative extensin	10.69832185	9.780089513	11.51711079	11.41094565	9.950408924	10.99250012	10.07352411	10.65216726
12152_at	unknown protein	4.938686052	4.860925437	4.919742478	4.862821462	4.933042564	4.965774688	4.97822262	4.828501575
12153_at	unknown protein	5.138796869	5.37456886	5.367896879	5.358405641	5.347102771	5.293500888	5.294637726	5.296950783
12154_at	unknown protein	5.860482193	5.727050635	5.952752258	6.011420321	5.631295897	5.78441383	5.877876721	5.655829057
12155_at	hypothetical protein	4.581861132	5.104125226	4.882805425	5.249234133	5.132070198	5.06196441	5.197291896	4.95317591
12156_at	unknown protein	8.172151065	7.904414571	8.094765281	8.056576478	8.119565774	7.825456108	8.011067977	7.919235186
12157_at	ESTs gb|Z25669 and gb|Z33817 come from this gene.	5.112015572	5.230231905	5.250974233	5.313145155	5.073571957	5.333595909	5.765958692	5.378058456
12158_at	Hypothetical protein	4.480304686	4.314675436	4.411531808	4.730000784	4.175101842	4.428022323	4.657921275	4.458303768
12159_at	"Very similar postsynaptic protein, CRIPT; Location of EST RaR107, gb|Z24527.  Very Similar to gi|3098551, Rattus norvegicus  postsynaptic protein, CRIPT"	6.345389004	6.464336386	6.27938939	6.497336775	6.729585569	6.358236241	6.584672237	6.286487434
12160_at	unknown protein	5.652701516	5.656864489	5.723122799	5.807942457	5.958845656	5.561314523	6.183411781	5.677639684
12161_at	unknown protein	5.431074035	4.95292462	5.212401504	5.113056941	5.117930228	4.732644432	5.047706093	5.494288276
12162_s_at	unknown protein	5.795836636	5.593306167	6.000340485	6.01584086	5.922959649	5.428944384	5.823492451	6.239919274
12163_at	unknown protein	4.997452894	4.823532021	4.858148616	4.857452703	5.039943019	4.791998672	4.782924801	5.141178846
12164_at	unknown protein	4.24033341	4.184622695	4.350283842	4.301351959	4.512262944	4.164642693	4.337433717	4.485916021
12165_at	F5I10.17	4.37554148	4.410289255	4.625360374	4.454943762	4.551682202	4.385490557	4.418734939	4.488896383
12166_i_at	contains similarity to Methanobacterium thermoautotrophicum transcriptional regulator (GB:AE000850); coded for by A. thaliana cDNA T41846; coded for by A. thaliana cDNA N38491; coded for by A. thaliana cDNA T44713	8.713892001	9.726638353	9.025730621	8.40590029	7.988597121	8.468429003	7.959392259	7.926812495
12167_at	Arabidopsis thaliana mRNA for hypothetical protein (clone E5G3T7).	8.187931417	8.937144801	8.352407738	8.194822616	8.142735171	8.385617619	7.827285548	8.164110109
12168_at	putative protein	5.428721363	5.518175633	5.424176385	5.558394423	5.506275447	5.432294516	5.273643058	5.523431534
12169_i_at	putative protein	9.029289555	8.892890116	9.943978099	9.955236082	10.01810562	9.015702152	9.631149972	9.629673113
12170_at	putative protein	7.718195784	7.692717185	7.83869591	8.007406317	7.90465553	7.821365821	7.834658123	7.866873607
12171_at	putative protein	7.405619144	7.430188563	7.950634765	7.85652294	8.016778763	7.835689274	7.377809358	7.785175423
12172_at	"Arabidopsis thaliana cell wall protein (APTR-1) gene, complete cds."	5.993632577	6.139926702	6.292200827	6.122021783	6.015721348	6.136470109	6.286303479	6.315822704
12173_at	hypothetical protein	4.682143837	5.021614166	4.799698818	4.69938566	4.787500613	4.80932902	4.891242737	4.743492626
12174_at	Clp proteinase like protein	7.516270302	7.327238605	7.366706731	7.459247165	7.573408251	7.054186777	7.521336082	7.554526078
12175_at	unknown protein	7.155817741	6.625038878	6.603955727	6.331653499	6.975415425	6.514023426	6.573592254	6.55648002
